City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Crib Point,AU,-38.35,145.2,84.6,51,0,7.52,clear sky
80,Castro,BR,-24.7911,-50.0119,61.9,97,63,3.89,broken clouds
81,Lashio,MM,22.9333,97.75,73.9,58,64,2.98,broken clouds
82,Orange Cove,US,36.6244,-119.3137,83.71,53,99,0.83,overcast clouds
83,Munger,IN,25.3833,86.4667,80.94,11,0,0.54,clear sky
84,Synya,RU,65.3718,58.0387,11.14,90,100,7.52,overcast clouds
85,Ulladulla,AU,-35.35,150.4667,72.77,73,100,3.85,overcast clouds
86,Hobart,AU,-42.8794,147.3294,76.23,54,20,14.97,few clouds
87,Laukaa,RU,58.7372,29.8453,22.86,73,100,15.79,overcast clouds
88,Sorkjosen,NO,69.8,20.9333,21.2,93,100,5.75,overcast clouds
89,Kurilsk,RU,45.2333,147.8833,36.07,95,100,19.26,overcast clouds
90,Sitka,US,57.0531,-135.33,42.42,72,25,4.45,scattered clouds
91,Cayenne,GF,4.9333,-52.3333,81.09,1,100,7,overcast clouds
92,Pisco,PE,-13.7,-76.2167,66.25,82,0,9.22,clear sky
93,Bethel,US,41.3712,-73.414,42.37,88,100,1.01,overcast clouds
94,Rio Cuarto,AR,-33.1307,-64.3499,58.68,37,0,6.6,clear sky
95,Bengkulu,ID,-3.8004,102.2655,81.21,67,54,6.06,broken clouds
96,Upernavik,GL,72.7868,-56.1549,12.78,88,100,6.64,overcast clouds
97,Shestakovo,RU,56.4915,103.96,18.84,81,82,13.06,broken clouds
98,Turukhansk,RU,65.8167,87.9833,9.45,93,100,10,light snow
99,Qui Nhon,VN,13.7667,109.2333,84.69,65,0,3.91,clear sky
100,Inegol,TR,40.0781,29.5133,24.08,73,1,5.23,clear sky
101,Hithadhoo,MV,-0.6,73.0833,82.35,69,8,8.72,clear sky
102,Tomohon,ID,1.3346,124.8392,79.74,62,100,2.28,overcast clouds
103,Severo-Kurilsk,RU,50.6789,156.125,32.92,98,100,26.31,snow
104,Itarema,BR,-2.9248,-39.9167,75.97,91,100,8.25,overcast clouds
