City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
70,Punta Arenas,CL,3/26/2022 21:02,-53.15,-70.9167,53.11,76,100,7.47
71,Yellowknife,CA,3/26/2022 21:00,62.456,-114.3525,3.29,77,100,12.73
72,Ahuimanu,US,3/26/2022 21:05,21.4447,-157.8378,82.11,56,20,16.11
73,Chuy,UY,3/26/2022 21:05,-33.6971,-53.4616,69.82,66,61,13.65
74,Port Blair,IN,3/26/2022 21:05,11.6667,92.75,78.84,94,20,2.3
75,Metro,ID,3/26/2022 21:05,-5.1131,105.3067,75.4,92,89,2.82
76,Lavrentiya,RU,3/26/2022 21:05,65.5833,-171,9.1,93,99,0.29
77,Cidreira,BR,3/26/2022 21:05,-30.1811,-50.2056,71.26,69,79,9.82
78,Lypnyazhka,UA,3/26/2022 21:05,48.4469,31.0761,49.66,72,89,20.02
79,Mookane,BW,3/26/2022 21:05,-23.688,26.6595,64.96,89,74,6.73
80,Manta,EC,3/26/2022 21:01,-0.95,-80.7333,80.28,76,94,3.53
81,Bathsheba,BB,3/26/2022 21:05,13.2167,-59.5167,81.21,65,20,18.41
82,Barcelos,PT,3/26/2022 21:01,41.5388,-8.6151,62.92,73,100,4.72
83,Puerto Ayora,EC,3/26/2022 21:05,-0.7393,-90.3518,82.36,76,51,9.15
84,Lushoto,TZ,3/26/2022 21:05,-4.7833,38.2833,62.01,83,68,2.28
85,Hasaki,JP,3/26/2022 21:05,35.7333,140.8333,61.29,89,100,9.82
86,Voh,NC,3/26/2022 21:05,-20.9667,164.7,77.18,77,93,4.72
87,Wanning,CN,3/26/2022 21:05,18.8003,110.3967,76.75,95,43,6.96
88,Bluff,NZ,3/26/2022 21:05,-46.6,168.3333,55.69,79,49,1.63
89,Cabo San Lucas,MX,3/26/2022 21:05,22.8909,-109.9124,87.62,23,0,3.44
90,Rikitea,PF,3/26/2022 21:05,-23.1203,-134.9692,79.18,73,4,13.11
91,Kavieng,PG,3/26/2022 21:05,-2.5744,150.7967,82.09,73,100,3.94
92,Lagoa,PT,3/26/2022 21:05,39.05,-27.9833,59.92,86,100,26.57
93,Vardo,NO,3/26/2022 21:05,70.3705,31.1107,27.27,57,100,26.98
94,Saint-Philippe,RE,3/26/2022 21:05,-21.3585,55.7679,76.59,85,25,7.63
95,Gilgit,PK,3/26/2022 21:05,35.9221,74.3087,48.34,42,0,3.49
